Source / Medium,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Revenue,Quantity Sold
A,2019,11,126870,104020,194667,71.59,455159,00:01:11,0.2,394,83244,482
A,2020,5,120625,98574,194114,64.56,559509,00:01:32,0.69,1347,203552,2402
A,2019,10,123361,104308,181175,41.91,368907,00:01:05,0.26,477,94282,599
A,2019,9,106551,88428,170329,75.92,368803,00:01:01,0.18,311,54971,415
A,2020,6,102123,82461,163446,67.1,425410,00:01:20,0.7,1138,167113,1987
A,2019,12,91043,70326,142637,67.06,370798,00:01:20,0.34,486,103001,607
A,2020,1,83031,64103,133736,69.46,373356,00:01:23,0.45,601,128552,777
A,2020,7,84343,73239,125423,71.16,292263,00:01:12,0.58,730,98161,1360
A,2020,2,82626,68145,125318,70.06,328822,00:01:24,0.52,657,126137,981
A,2020,3,73844,61557,110546,72.19,266187,00:01:15,0.48,531,96195,843
B,2019,12,88579,75361,106966,56.2,333480,00:01:55,0.21,225,47724,317
A,2020,4,73349,62794,104146,67.12,288195,00:01:25,0.6,622,95367,1150
C,2020,5,68869,55769,99838,50.98,325311,00:01:38,0.47,471,58744,819
B,2020,1,82671,72520,99500,60.96,299723,00:01:48,0.25,253,55954,377
B,2019,11,79783,65883,98400,55.17,342257,00:02:13,0.22,218,57597,343
D,2020,5,82246,81585,90447,86.13,111745,00:00:26,0.0,0,0,0
B,2020,2,69129,58861,82905,61.34,238736,00:01:51,0.35,294,63161,500
B,2019,10,65953,55972,80301,36.72,263957,00:02:14,0.33,268,60862,419
C,2020,4,50516,43034,74190,50.75,247484,00:01:35,0.38,279,31663,489
B,2020,5,55342,48064,66180,58.3,213302,00:02:07,0.52,341,54626,742
E,2019,10,33658,4533,62972,34.04,164136,00:01:46,0.25,156,30842,261
B,2020,6,50645,44609,60789,60.44,181511,00:01:58,0.53,322,47867,678
B,2020,3,48288,41139,58580,61.19,174115,00:02:00,0.31,183,32795,325
A,2020,8,42747,35935,56931,64.81,149505,00:01:29,0.48,272,43561,530
E,2019,11,31370,3721,55292,62.09,143387,00:01:42,0.16,88,18327,144
C,2020,6,36191,27156,51894,49.67,167903,00:01:37,0.7,364,42734,635
B,2020,7,43010,38395,50567,62.29,140013,00:01:54,0.38,190,27580,341
B,2020,8,42815,38735,50550,63.45,135664,00:01:48,0.4,204,31686,374
B,2019,9,40697,34012,48854,55.57,178347,00:02:16,0.24,117,24924,228
F,2020,7,42982,42730,45898,86.25,78133,00:00:34,0.15,67,9358,112
C,2020,3,25294,20428,40622,53.76,121931,00:01:28,0.51,208,24097,356
E,2019,12,23435,4284,39880,58.84,103506,00:01:39,0.34,136,27026,165
E,2019,9,21325,2547,37821,59.75,107063,00:01:48,0.22,85,13776,131
E,2020,2,20448,3180,37225,61.91,98988,00:01:47,0.49,181,30487,290
B,2020,4,29989,24981,36920,54.52,139743,00:02:42,0.6,223,35916,442
C,2020,1,24971,19962,35064,69.74,84740,00:01:03,0.26,91,13946,122
E,2020,3,17879,3588,33009,59.26,93181,00:01:51,0.56,185,28137,318
G,2020,5,19478,2467,31066,57.09,89816,00:01:46,0.6,185,26227,319
E,2020,4,17620,3586,30386,53.27,100807,00:02:00,0.62,188,26814,315
C,2020,2,18990,14703,28625,61.56,75117,00:01:20,0.45,128,17581,173
G,2020,6,16773,2491,27754,56.15,80190,00:01:44,0.73,203,27902,316
H,2019,9,19078,15188,26330,62.39,66331,00:01:31,0.11,28,4005,36
H,2019,10,19263,15538,26057,39.86,64175,00:01:30,0.07,18,3076,22
E,2020,1,14803,1386,25031,63.55,66722,00:01:42,0.34,84,15552,116
I,2019,10,13150,9316,24291,27.49,63230,00:01:23,0.24,59,8527,84
H,2019,11,16826,13098,23791,66.31,55191,00:01:22,0.08,18,3036,29
D,2020,6,15117,14145,22828,85.94,27839,00:00:48,3.1505622489959837,2,290,2
H,2019,12,16312,13243,21409,59.83,50408,00:01:26,0.11,24,4950,37
I,2019,11,11522,7923,21191,55.92,59438,00:01:24,0.23,49,8708,60
G,2020,7,10277,1708,17149,55.92,49644,00:01:46,0.84,144,18304,237
I,2019,9,8772,5675,16799,57.71,46301,00:01:19,0.25,42,5084,56
F,2020,5,12284,11569,16326,55.57,55340,00:02:28,0.69,113,17267,216
F,2020,6,12324,11664,16149,59.48,48908,00:01:51,0.55,89,13951,182
I,2019,12,10275,7523,15686,54.54,44207,00:01:21,0.31,49,7434,68
C,2020,8,11946,8525,15172,54.73,44710,00:01:29,0.45,68,7729,132
F,2019,12,12351,11794,14797,54.76,50265,00:02:08,0.39,58,12242,72
C,2020,7,9930,6789,13141,52.42,42336,00:01:41,0.43,56,6244,129
F,2019,10,9099,8747,11405,31.19,31980,00:02:28,0.39,45,9499,69
F,2020,1,8964,8481,11113,60.41,38427,00:02:20,0.55,61,15567,96
G,2020,8,6686,1241,11018,55.41,33737,00:01:54,0.77,85,12214,170
F,2020,4,8078,7512,10890,59.39,37074,00:02:40,0.57,62,8954,120
F,2020,2,8055,7467,10375,58.28,35176,00:02:22,0.61,63,13965,118
F,2019,11,7869,7463,10252,53.63,38871,00:02:50,0.49,50,11723,79
D,2020,7,7215,6676,10101,87.07,12415,00:00:40,0.0,0,0,0
